concept:name,case:concept:name,time:timestamp
a73,1,2024-06-27 02:53:14.447718+00:00
a72,1,2024-06-27 02:53:18.882442+00:00
a2,1,2024-06-27 02:53:27.415291+00:00
a1,1,2024-06-27 02:53:29.589287+00:00
a6,1,2024-06-27 02:53:32.924718+00:00
a85,1,2024-06-27 02:53:32.929718+00:00
a85,1,2024-06-27 02:53:37.528594+00:00
a8,1,2024-06-27 02:53:38.876979+00:00
a51,1,2024-06-27 02:53:39.020001+00:00
a8,1,2024-06-27 02:53:39.025001+00:00
a51,1,2024-06-27 02:53:39.391902+00:00
a29,1,2024-06-27 18:26:15.330730+00:00
a20,1,2024-06-27 18:26:15.340730+00:00
a20,1,2024-06-27 18:26:15.345730+00:00
a37,1,2024-06-27 18:26:19.582434+00:00
a54,1,2024-06-27 18:26:19.587434+00:00
a53,1,2024-06-27 18:26:51.185349+00:00
a71,1,2024-06-27 18:28:51.612822+00:00
a73,1,2024-06-27 18:29:00.755659+00:00
a72,1,2024-06-27 18:29:05.190383+00:00
a2,1,2024-06-27 18:29:13.723232+00:00
a1,1,2024-06-27 18:29:15.897228+00:00
a6,1,2024-06-27 18:29:19.232659+00:00
a85,1,2024-06-27 18:29:19.237659+00:00
a85,1,2024-06-27 18:29:24.237109+00:00
a8,1,2024-06-27 18:29:29.234953+00:00
a51,1,2024-06-27 18:29:29.536042+00:00
a29,1,2024-07-06 16:46:32.847065+00:00
a37,1,2024-07-06 16:46:32.852065+00:00
a85,1,2024-07-06 16:46:37.313605+00:00
a85,1,2024-07-06 16:46:40.435958+00:00
a8,1,2024-07-06 16:46:41.770829+00:00
a51,1,2024-07-06 16:46:41.889207+00:00
a54,1,2024-07-06 16:46:41.899207+00:00
a53,1,2024-07-06 16:47:09.416713+00:00
a71,1,2024-07-06 16:47:11.390098+00:00
a73,1,2024-07-06 16:50:30.941471+00:00
a20,1,2024-07-06 16:50:30.946471+00:00
a37,1,2024-07-06 16:50:41.283089+00:00
a85,1,2024-07-06 16:50:45.744629+00:00
a85,1,2024-07-06 16:50:48.866982+00:00
a20,1,2024-07-06 16:50:48.871982+00:00
a37,1,2024-07-06 16:50:53.108686+00:00
a85,1,2024-07-06 16:51:03.387286+00:00
a85,1,2024-07-06 16:51:08.386736+00:00
a8,1,2024-07-06 16:51:13.384580+00:00
a51,1,2024-07-06 16:51:13.685669+00:00
a29,1,2024-07-15 15:08:16.996692+00:00
a8,1,2024-07-15 15:08:17.001692+00:00
a51,1,2024-07-15 15:08:17.120070+00:00
a72,1,2024-07-15 15:08:17.125070+00:00
a2,1,2024-07-15 15:08:23.725131+00:00
a1,1,2024-07-15 15:08:25.736030+00:00
a6,1,2024-07-15 15:08:27.145063+00:00
a54,1,2024-07-15 15:08:27.155063+00:00
a53,1,2024-07-15 15:08:58.752978+00:00
a71,1,2024-07-15 15:10:59.180451+00:00
a73,1,2024-07-15 15:11:08.323288+00:00
a72,1,2024-07-15 15:11:12.758012+00:00
a2,1,2024-07-15 15:11:21.290861+00:00
a20,1,2024-07-15 15:11:21.295861+00:00
a37,1,2024-07-15 15:11:30.879371+00:00
a20,1,2024-07-15 15:11:30.884371+00:00
a37,1,2024-07-15 15:11:36.418981+00:00
a85,1,2024-07-15 15:36:00.418642+00:00
a85,1,2024-07-15 15:36:05.017518+00:00
a8,1,2024-07-15 15:36:06.365903+00:00
a51,1,2024-07-15 15:36:06.508925+00:00
a85,1,2024-07-15 15:36:06.513925+00:00
a85,1,2024-07-15 15:36:18.655574+00:00
a8,1,2024-07-15 15:36:30.881967+00:00
a51,1,2024-07-15 15:36:31.248868+00:00
a29,1,2024-07-16 07:09:07.187696+00:00
a1,1,2024-07-16 07:09:07.192696+00:00
a6,1,2024-07-16 07:09:10.528127+00:00
a54,1,2024-07-16 07:09:10.538127+00:00
a53,1,2024-07-16 07:09:28.738729+00:00
a71,1,2024-07-16 07:10:05.788345+00:00
a20,1,2024-07-16 07:10:05.793345+00:00
a20,1,2024-07-16 07:10:05.798345+00:00
a37,1,2024-07-16 07:10:11.332955+00:00
a85,1,2024-07-16 07:34:35.332616+00:00
a85,1,2024-07-16 07:34:39.931492+00:00
a8,1,2024-07-16 07:34:41.279877+00:00
a51,1,2024-07-16 07:34:41.422899+00:00
a37,1,2024-07-16 07:34:41.427899+00:00
a85,1,2024-07-16 07:34:51.706499+00:00
a85,1,2024-07-16 07:34:56.705949+00:00
a8,1,2024-07-16 07:35:01.703793+00:00
a51,1,2024-07-16 07:35:02.004882+00:00
a29,1,2024-07-25 05:52:05.315905+00:00
a73,1,2024-07-25 05:52:05.320905+00:00
a72,1,2024-07-25 05:52:12.403461+00:00
a2,1,2024-07-25 05:52:23.527495+00:00
a1,1,2024-07-25 05:52:27.553952+00:00
a6,1,2024-07-25 05:52:30.621601+00:00
a54,1,2024-07-25 05:52:30.631601+00:00
a53,1,2024-07-25 05:52:58.149107+00:00
a71,1,2024-07-25 05:53:00.122492+00:00
a73,1,2024-07-25 05:56:19.673865+00:00
a72,1,2024-07-25 05:56:24.339573+00:00
a2,1,2024-07-25 05:56:30.939634+00:00
a20,1,2024-07-25 05:56:30.944634+00:00
a37,1,2024-07-25 05:56:41.281252+00:00
a20,1,2024-07-25 05:56:41.286252+00:00
a37,1,2024-07-25 05:56:45.522956+00:00
a85,1,2024-07-25 05:56:55.801556+00:00
a85,1,2024-07-25 05:57:00.801006+00:00
a8,1,2024-07-25 05:57:05.798850+00:00
a51,1,2024-07-25 05:57:06.099939+00:00
a29,1,2024-08-03 04:14:09.410962+00:00
a85,1,2024-08-03 04:14:09.415962+00:00
a85,1,2024-08-03 04:14:12.538315+00:00
a8,1,2024-08-03 04:14:13.873186+00:00
a51,1,2024-08-03 04:14:13.991564+00:00
a1,1,2024-08-03 04:14:13.996564+00:00
a6,1,2024-08-03 04:14:15.405597+00:00
a54,1,2024-08-03 04:14:15.415597+00:00
a53,1,2024-08-03 04:14:28.816290+00:00
a20,1,2024-08-03 04:14:28.821290+00:00
a37,1,2024-08-03 04:14:38.404800+00:00
a85,1,2024-08-03 04:14:43.519512+00:00
a20,1,2024-08-03 04:14:43.524512+00:00
a37,1,2024-08-03 04:14:53.861130+00:00
a85,1,2024-08-03 04:14:58.322670+00:00
a85,1,2024-08-03 04:15:01.445023+00:00
a8,1,2024-08-03 04:15:02.779894+00:00
a51,1,2024-08-03 04:15:02.898272+00:00
a85,1,2024-08-03 04:15:02.903272+00:00
a8,1,2024-08-03 04:15:15.129665+00:00
a51,1,2024-08-03 04:15:15.496566+00:00
a29,1,2024-08-03 19:47:51.435394+00:00
a71,1,2024-08-03 19:47:51.440394+00:00
a73,1,2024-08-03 19:47:57.787231+00:00
a72,1,2024-08-03 19:48:00.722885+00:00
a2,1,2024-08-03 19:48:08.429520+00:00
a1,1,2024-08-03 19:48:10.923348+00:00
a6,1,2024-08-03 19:48:12.372257+00:00
a20,1,2024-08-03 19:48:12.382257+00:00
a37,1,2024-08-03 19:48:22.718875+00:00
a85,1,2024-08-03 19:48:27.180415+00:00
a85,1,2024-08-03 19:48:30.302768+00:00
a20,1,2024-08-03 19:48:30.307768+00:00
a37,1,2024-08-03 19:48:34.544472+00:00
a85,1,2024-08-03 19:48:44.823072+00:00
a85,1,2024-08-03 19:48:49.822522+00:00
a8,1,2024-08-03 19:48:54.820366+00:00
a54,1,2024-08-03 19:48:54.825366+00:00
a53,1,2024-08-03 19:49:08.226059+00:00
a71,1,2024-08-03 19:51:19.963925+00:00
a73,1,2024-08-03 19:51:26.310762+00:00
a72,1,2024-08-03 19:51:29.246416+00:00
a2,1,2024-08-03 19:51:36.953051+00:00
a1,1,2024-08-03 19:51:39.446879+00:00
a6,1,2024-08-03 19:51:40.895788+00:00
a51,1,2024-08-03 19:51:40.900788+00:00
a29,1,2024-08-12 18:08:44.211811+00:00
a8,1,2024-08-12 18:08:44.216811+00:00
a51,1,2024-08-12 18:08:44.335189+00:00
a20,1,2024-08-12 18:08:44.345189+00:00
a54,1,2024-08-12 18:08:44.350189+00:00
a53,1,2024-08-12 18:09:15.948104+00:00
a71,1,2024-08-12 18:11:16.375577+00:00
a20,1,2024-08-12 18:11:16.380577+00:00
a37,1,2024-08-12 18:11:26.717195+00:00
a85,1,2024-08-12 18:11:31.178735+00:00
a85,1,2024-08-12 18:11:34.301088+00:00
a8,1,2024-08-12 18:11:35.635959+00:00
a51,1,2024-08-12 18:11:35.754337+00:00
a73,1,2024-08-12 18:11:35.759337+00:00
a72,1,2024-08-12 18:11:40.194061+00:00
a2,1,2024-08-12 18:11:48.726910+00:00
a1,1,2024-08-12 18:11:50.900906+00:00
a6,1,2024-08-12 18:11:54.236337+00:00
a37,1,2024-08-12 18:11:54.241337+00:00
a85,1,2024-08-12 18:11:59.356049+00:00
a85,1,2024-08-12 18:12:11.497698+00:00
a8,1,2024-08-12 18:12:23.724091+00:00
a51,1,2024-08-12 18:12:24.090992+00:00
a29,1,2024-08-13 09:45:00.029820+00:00
a20,1,2024-08-13 09:45:00.039820+00:00
a37,1,2024-08-13 09:45:10.376438+00:00
a85,1,2024-08-13 09:45:14.837978+00:00
a85,1,2024-08-13 09:45:17.960331+00:00
a8,1,2024-08-13 09:45:19.295202+00:00
a54,1,2024-08-13 09:45:19.300202+00:00
a53,1,2024-08-13 09:45:37.500804+00:00
a71,1,2024-08-13 09:46:14.550420+00:00
a20,1,2024-08-13 09:46:14.555420+00:00
a37,1,2024-08-13 09:46:24.138930+00:00
a85,1,2024-08-13 09:46:29.253642+00:00
a85,1,2024-08-13 09:46:41.395291+00:00
a8,1,2024-08-13 09:46:53.621684+00:00
a51,1,2024-08-13 09:46:53.988585+00:00
a29,1,2024-08-14 01:19:29.927413+00:00
a73,1,2024-08-14 01:19:29.932413+00:00
a72,1,2024-08-14 01:19:37.014969+00:00
a2,1,2024-08-14 01:19:48.139003+00:00
a1,1,2024-08-14 01:19:52.165460+00:00
a6,1,2024-08-14 01:19:55.233109+00:00
a51,1,2024-08-14 01:19:55.238109+00:00
a20,1,2024-08-14 01:19:55.248109+00:00
a37,1,2024-08-14 01:19:59.484813+00:00
a85,1,2024-08-14 01:20:09.763413+00:00
a85,1,2024-08-14 01:20:14.762863+00:00
a8,1,2024-08-14 01:20:19.760707+00:00
a51,1,2024-08-14 01:20:20.061796+00:00
a54,1,2024-08-14 01:20:20.066796+00:00
a53,1,2024-08-14 01:20:38.267398+00:00
a71,1,2024-08-14 01:21:15.317014+00:00
a73,1,2024-08-14 01:27:05.333246+00:00
a72,1,2024-08-14 01:27:12.415802+00:00
a2,1,2024-08-14 01:27:23.539836+00:00
a20,1,2024-08-14 01:27:23.544836+00:00
a37,1,2024-08-14 01:27:29.079446+00:00
a85,1,2024-08-14 01:51:53.079107+00:00
a85,1,2024-08-14 01:51:57.677983+00:00
a8,1,2024-08-14 01:51:59.026368+00:00
a51,1,2024-08-14 01:51:59.169390+00:00
a1,1,2024-08-14 01:51:59.174390+00:00
a6,1,2024-08-14 01:52:02.242039+00:00
a29,1,2024-08-14 01:52:02.247039+00:00
a54,1,2024-08-14 01:52:02.257039+00:00
a53,1,2024-08-14 01:52:20.457641+00:00
a71,1,2024-08-14 01:52:57.507257+00:00
a73,1,2024-08-14 01:58:47.523489+00:00
a20,1,2024-08-14 01:58:47.528489+00:00
a20,1,2024-08-14 01:58:47.533489+00:00
a37,1,2024-08-14 01:58:57.870107+00:00
a85,1,2024-08-14 01:59:02.331647+00:00
a85,1,2024-08-14 01:59:05.454000+00:00
a8,1,2024-08-14 01:59:06.788871+00:00
a51,1,2024-08-14 01:59:06.907249+00:00
a37,1,2024-08-14 01:59:06.912249+00:00
a85,1,2024-08-14 01:59:17.190849+00:00
a85,1,2024-08-14 01:59:22.190299+00:00
a8,1,2024-08-14 01:59:27.188143+00:00
a51,1,2024-08-14 01:59:27.489232+00:00
a29,1,2024-08-23 00:16:30.800255+00:00
a72,1,2024-08-23 00:16:30.805255+00:00
a2,1,2024-08-23 00:16:41.929289+00:00
a1,1,2024-08-23 00:16:45.955746+00:00
